xover              ,t ,count_s0,count_s1,avg_fitness_s0    ,stdev_fitness_s0  ,avg_fitness_s1    ,stdev_fitness_s1
two_point_crossover,5 ,89      ,161     ,63.92134831460674 ,2.974225334975034 ,65.48447204968944 ,2.6835275060592165
two_point_crossover,6 ,68      ,182     ,66.51470588235294 ,2.684908887299383 ,67.08791208791209 ,2.3908127638497283
two_point_crossover,7 ,58      ,192     ,68.36206896551724 ,2.411218486917256 ,68.71875          ,2.286784820824628
two_point_crossover,8 ,56      ,194     ,70.14285714285714 ,1.9014690151523415,70.08762886597938 ,2.110313079047199
two_point_crossover,9 ,49      ,201     ,71.46938775510205 ,2.180424660629271 ,71.67164179104478 ,2.0956244394081627
two_point_crossover,10,31      ,219     ,73.64516129032258 ,2.122080537220869 ,72.96803652968036 ,2.1340148831709778
two_point_crossover,11,31      ,219     ,74.45161290322581 ,1.670103982340009 ,74.55251141552512 ,2.312854107499111
two_point_crossover,12,33      ,217     ,75.81818181818181 ,2.256304299271065 ,76.12903225806451 ,2.2030987192014777
two_point_crossover,13,31      ,219     ,77.87096774193549 ,1.9103566069169908,77.37442922374429 ,2.0955356693522007
two_point_crossover,14,36      ,214     ,79.11111111111111 ,1.87887166410022  ,78.81308411214954 ,2.044715350881723
two_point_crossover,15,40      ,210     ,80.75             ,1.8362447744772132,80.05714285714286 ,2.0766580229030227
two_point_crossover,16,46      ,204     ,81.54347826086956 ,1.5012072436561839,81.3529411764706  ,1.8866764314831201
two_point_crossover,17,58      ,192     ,82.46551724137932 ,1.48932478803615  ,82.66145833333333 ,1.5602973130339879
two_point_crossover,18,57      ,193     ,83.50877192982456 ,1.4030936102762335,83.79792746113989 ,1.4668545765948904
two_point_crossover,19,60      ,190     ,84.35             ,1.2865009699812557,84.90526315789474 ,1.533220728857193
two_point_crossover,20,56      ,194     ,85.28571428571429 ,1.4233671437735331,85.91752577319588 ,1.5449741557124337
two_point_crossover,21,57      ,193     ,86.28070175438596 ,1.5324395346369446,86.85492227979275 ,1.4067134862756436
two_point_crossover,22,47      ,203     ,87.53191489361703 ,1.5301472482395597,87.9064039408867  ,1.4712116560896653
two_point_crossover,23,39      ,211     ,88.53846153846153 ,1.3148174547332625,88.77725118483413 ,1.3844902890288744
two_point_crossover,24,35      ,215     ,89.6              ,1.0900620597551531,89.76744186046511 ,1.2940772576267627
two_point_crossover,25,35      ,215     ,90.28571428571429 ,1.0451970985368817,90.69302325581396 ,1.2185089994331721
two_point_crossover,26,28      ,222     ,91.03571428571429 ,0.9222413461394477,91.51351351351352 ,1.1947461523666185
two_point_crossover,27,20      ,230     ,91.6              ,0.8825799501580878,92.25217391304348 ,1.1772477581344787
two_point_crossover,28,12      ,238     ,92.5              ,0.674199862463242 ,93.0672268907563  ,1.1079390715549549
two_point_crossover,29,8       ,242     ,92.875            ,0.6408699444616557,93.86776859504133 ,0.8920315641135023
two_point_crossover,30,9       ,241     ,93.44444444444444 ,0.7264831572567789,94.52282157676349 ,0.8900479418918044
two_point_crossover,31,5       ,245     ,94.8              ,0.4472135954999579,95.0734693877551  ,0.8746839031395907
